"from","to","n_pixels","acres","hansen_any_pct","hansen_2015_2020_pct","hansen_2021_2024_pct","lf_any_pct","lf_harvest_pct"
"Forest Industry","Other Business",167196,37183.5282238058,11.3579272231393,5.27943252230915,2.14777865499175,19.0327519797124,0
"Other Business","Forest Industry",22315,4962.74092869581,4.49473448353126,0.0134438718350885,4.27066995294645,48.1380237508402,0
"Forest Industry","Private Individual(s)",19071,4241.29205696428,22.5001310890881,5.0023596035866,0.304126684494783,12.7890514393582,0
"Private Individual(s)","Trust",16841,3745.35155635968,1.21132949349801,0.789739326643311,0.0475031173920789,17.3208241790868,0
"Forest Industry","Trust",14690,3266.98024837739,11.211708645337,1.53846153846154,3.93464942137509,12.573179033356,0
"Private Individual(s)","Other Business",13204,2936.50151120321,2.6279915177219,0.0908815510451378,0.371099666767646,2.78703423205089,0
"Private Individual(s)","Forest Industry",6882,1530.52131173133,13.9058413251962,11.5373437954083,1.2205754141238,19.471083987213,0
"Other Business","Other",5223,1161.5682666627,14.455293892399,3.88665517901589,0.134022592379858,10.2431552747463,0
"Private Individual(s)","Private Group",4695,1044.14378938951,0.894568690095847,0.788072417465389,0,4.02555910543131,0
"Forest Industry","Other",4406,979.871679669897,25.0113481615978,16.4094416704494,0,28.1888334089877,0
"Other Business","Private Individual(s)",3107,690.980778196634,5.27840360476344,4.5381396845832,0,7.04859993562922,0.482780817508851
"Club or Group","Other",1604,356.721328686,4.92518703241895,0,0,0,0
"Other","Other Business",358,79.6173539087207,0,0,0,0,0
"Other","Private Individual(s)",350,77.8381951621571,0,0,0,0,0
"Forest Industry","Private Group",176,39.141492424399,0,0,0,0,0
"Other Business","Trust",1,0.222394843320449,0,0,0,0,0
