"cohort","year","n_pixels","acres","pct_of_cohort"
"Owner type changed",2001,867,192.816329158829,0.309511314834053
"Owner type changed",2002,807,179.472638559602,0.288091846679447
"Owner type changed",2003,962,213.943839274272,0.343425472745512
"Owner type changed",2004,956,212.609470214349,0.341283525930051
"Owner type changed",2005,323,71.833534392505,0.115308136898961
"Owner type changed",2006,1034,229.956267993344,0.369128834531039
"Owner type changed",2007,1286,285.999768510097,0.459090600780383
"Owner type changed",2008,985,219.058920670642,0.351636268871444
"Owner type changed",2009,1260,280.217502583765,0.44980883124672
"Owner type changed",2010,608,135.216064738833,0.217050610633338
"Owner type changed",2011,1118,248.637434832262,0.399116089947487
"Owner type changed",2012,799,177.693479813039,0.285235917592166
"Owner type changed",2013,341,75.836641572273,0.121733977345343
"Owner type changed",2014,854,189.925196195663,0.304870430067221
"Owner type changed",2015,981,218.16934129736,0.350208304327804
"Owner type changed",2016,1302,289.558086003224,0.464802458954944
"Owner type changed",2017,1536,341.598479340209,0.548338384757906
"Owner type changed",2018,2355,523.739856019657,0.840714125068275
"Owner type changed",2019,2404,534.637203342359,0.858206690727869
"Owner type changed",2020,3475,772.82208053856,1.24054419728758
"Owner type changed",2021,3038,675.635534007523,1.08453907089487
"Owner type changed",2022,1533,340.931294810248,0.547267411350176
"Owner type changed",2023,316,70.2767704892618,0.11280919894759
"Owner type changed",2024,441,98.0761259043179,0.157433090936352
"Stable owner type",2001,1596,354.942169939436,0.137952733037259
"Stable owner type",2002,1056,234.848954546394,0.0912769962953295
"Stable owner type",2003,1553,345.379191676657,0.134235961407809
"Stable owner type",2004,1844,410.096091082908,0.159388997318738
"Stable owner type",2005,1266,281.551871643688,0.109428671694969
"Stable owner type",2006,1476,328.254788740982,0.127580347094608
"Stable owner type",2007,1621,360.502041022447,0.140113646775312
"Stable owner type",2008,2827,628.710222066909,0.244356125498955
"Stable owner type",2009,3842,854.440988037164,0.332089223263879
"Stable owner type",2010,3078,684.531327740341,0.266051699429
"Stable owner type",2011,2145,477.036938922363,0.185406398724888
"Stable owner type",2012,1695,376.959259428161,0.146509951439946
"Stable owner type",2013,1117,248.415039988941,0.0965496258161771
"Stable owner type",2014,2106,468.363540032865,0.182035373293526
"Stable owner type",2015,2274,505.725873710701,0.196556713613238
"Stable owner type",2016,4010,891.803321715,0.34661056358359
"Stable owner type",2017,3922,872.2325755028,0.339004147225646
"Stable owner type",2018,6290,1398.86356448562,0.543685896493961
"Stable owner type",2019,5247,1166.90574290239,0.453532575342418
"Stable owner type",2020,5336,1186.69888395791,0.461225428249885
"Stable owner type",2021,5164,1148.4469709068,0.446358341732085
"Stable owner type",2022,11169,2483.92800504609,0.965409821612249
"Stable owner type",2023,12924,2874.23095507348,1.11710596602352
"Stable owner type",2024,4636,1031.0224936336,0.40071984358442
"FI → Other Business",2001,160,35.5831749312718,0.0956960692839542
"FI → Other Business",2002,336,74.7246673556708,0.200961745496304
"FI → Other Business",2003,116,25.7978018251721,0.0693796502308668
"FI → Other Business",2004,744,165.461763430414,0.444986722170387
"FI → Other Business",2005,159,35.3607800879514,0.0950979688509294
"FI → Other Business",2006,584,129.878588499142,0.349290652886433
"FI → Other Business",2007,195,43.3669944474875,0.116629584439819
"FI → Other Business",2008,578,128.544219439219,0.345702050288284
"FI → Other Business",2009,919,204.380861011492,0.549654297949712
"FI → Other Business",2010,369,82.0636971852456,0.220699059786119
"FI → Other Business",2011,843,187.478852919138,0.504198665039833
"FI → Other Business",2012,658,146.335806904855,0.393550084930262
"FI → Other Business",2013,314,69.8319808026209,0.18780353596976
"FI → Other Business",2014,597,132.769721462308,0.357065958515754
