"metric","acres","min_parcel_acres"
"stable_name_acres",307.34967346886,20
"changed_name_acres",319282.268787219,20
"exited_acres",10087.1629084856,20
"entered_acres",1612.36261407325,20
"stable_name_acres",307.34967346886,40
"changed_name_acres",314228.568367605,40
"exited_acres",10013.1054256599,40
"entered_acres",1514.28648816894,40
"stable_name_acres",307.34967346886,60
"changed_name_acres",290562.421115659,60
"exited_acres",9068.1497363913,60
"entered_acres",1083.73007150055,60
"stable_name_acres",307.34967346886,80
"changed_name_acres",283895.246107756,80
"exited_acres",9208.92567221314,80
"entered_acres",933.613552259244,80
"stable_name_acres",307.34967346886,100
"changed_name_acres",256091.665190677,100
"exited_acres",7797.8303913449,100
"entered_acres",806.181307036627,100
"stable_name_acres",307.34967346886,160
"changed_name_acres",239342.442355684,160
"exited_acres",7977.74781959114,160
"entered_acres",779.493925838173,160
"stable_name_acres",0,320
"changed_name_acres",165820.041523003,320
"exited_acres",4405.41945133477,320
"entered_acres",99.4104949642406,320
