"metric","acres","min_parcel_acres"
"cfp_acres_2020",329676.781369173,20
"cfp_acres_2026",321201.981074761,20
"stable_owner_acres",257292.597344607,20
"changed_owner_acres",62297.0211160808,20
"exited_acres",10087.1629084856,20
"entered_acres",1612.36261407325,20
"cfp_acres_2020",324549.023466734,40
"cfp_acres_2026",316050.204529243,40
"stable_owner_acres",253430.043705817,40
"changed_owner_acres",61105.8743352565,40
"exited_acres",10013.1054256599,40
"entered_acres",1514.28648816894,40
"cfp_acres_2020",299937.92052552,60
"cfp_acres_2026",291953.500860629,60
"stable_owner_acres",234055.894535113,60
"changed_owner_acres",56813.8762540151,60
"exited_acres",9068.1497363913,60
"entered_acres",1083.73007150055,60
"cfp_acres_2020",293411.521453438,80
"cfp_acres_2026",285136.209333484,80
"stable_owner_acres",228365.25528423,80
"changed_owner_acres",55837.340496995,80
"exited_acres",9208.92567221314,80
"entered_acres",933.613552259244,80
"cfp_acres_2020",264196.84525549,100
"cfp_acres_2026",257205.196171182,100
"stable_owner_acres",207083.403147523,100
"changed_owner_acres",49315.6117166229,100
"exited_acres",7797.8303913449,100
"entered_acres",806.181307036627,100
"cfp_acres_2020",247627.539848744,160
"cfp_acres_2026",240429.285954991,160
"stable_owner_acres",195229.090814013,160
"changed_owner_acres",44420.7012151398,160
"exited_acres",7977.74781959114,160
"entered_acres",779.493925838173,160
"cfp_acres_2020",170225.460974338,320
"cfp_acres_2026",165919.452017967,320
"stable_owner_acres",140860.668257149,320
"changed_owner_acres",24959.373265854,320
"exited_acres",4405.41945133477,320
"entered_acres",99.4104949642406,320
