"from","to","n_pixels","acres","mean_tcc_2020","mean_tcc_2025","delta_pp"
"Forest Industry","Other Business",167140,37171.0741125798,70.5998264927606,75.2844800765825,4.68465358382196
"Other Business","Forest Industry",22315,4962.74092869581,80.1270445888416,66.3306744342371,-13.7963701546045
"Forest Industry","Private Individual(s)",19071,4241.29205696428,68.4742803209061,72.5881180850506,4.11383776414451
"Private Individual(s)","Trust",16824,3741.57084402323,78.2948169281978,81.5405373276272,3.24572039942939
"Forest Industry","Trust",14654,3258.97403401786,76.1035212228743,77.1279514125836,1.02443018970929
"Private Individual(s)","Other Business",13172,2929.38487621695,79.5511691466748,80.2941846340723,0.743015487397514
"Private Individual(s)","Forest Industry",6880,1530.07652204469,73.8037790697674,77.7337209302326,3.92994186046512
"Other Business","Other",5223,1161.5682666627,72.2425808922075,75.1606356500096,2.91805475780203
"Private Individual(s)","Private Group",4695,1044.14378938951,76.1454739084132,77.0984025559105,0.95292864749733
"Forest Industry","Other",4326,962.080092204261,62.6738326398521,70.4255663430421,7.75173370319002
"Other Business","Private Individual(s)",3107,690.980778196634,73.9211457998069,77.5046668812359,3.58352108142903
"Club or Group","Other",1604,356.721328686,77.6701995012469,76.6820448877805,-0.988154613466335
"Other","Other Business",358,79.6173539087207,82.7011173184357,82.6424581005587,-0.0586592178770928
"Other","Private Individual(s)",350,77.8381951621571,82.0285714285714,83.1714285714286,1.14285714285715
"Forest Industry","Private Group",176,39.141492424399,75.4488636363636,75.7102272727273,0.261363636363626
"Other Business","Trust",1,0.222394843320449,78,81,3
