"class_id","n_pixels","agent_id","years_since_bin","agent","label","years_since","acres"
11,7926,1,1,"harvest_remove","Timber harvest or clearing","About 1 year since disturbance",1762.70152815788
12,47871,1,2,"harvest_remove","Timber harvest or clearing","About 2–5 years since disturbance",10646.2635445932
13,28298,1,3,"harvest_remove","Timber harvest or clearing","About 6–10 years since disturbance",6293.32927628206
21,24809,2,1,"mech_unknown","Other mechanical change","About 1 year since disturbance",5517.39366793701
22,189191,2,2,"mech_unknown","Other mechanical change","About 2–5 years since disturbance",42075.102802639
23,150996,2,3,"mech_unknown","Other mechanical change","About 6–10 years since disturbance",33580.7317620145
31,641,3,1,"insects","Insects or disease","About 1 year since disturbance",142.555094568408
32,7472,3,2,"insects","Insects or disease","About 2–5 years since disturbance",1661.73426929039
33,13981,3,3,"insects","Insects or disease","About 6–10 years since disturbance",3109.30230446319
41,2,4,1,"fire","Fire","About 1 year since disturbance",0.444789686640898
42,2377,4,2,"fire","Fire","About 2–5 years since disturbance",528.632542572707
