"year","county","n_pixels","acres"
2001,"Houghton",3124,694.761490533082
2001,"Keweenaw",889,197.709015711879
2002,"Houghton",2652,589.79112448583
2002,"Keweenaw",1115,247.9702503023
2003,"Houghton",2224,494.606131544678
2003,"Keweenaw",1451,322.694917657971
2004,"Houghton",5981,1330.1435578996
2004,"Keweenaw",2016,448.348004134025
2005,"Houghton",2538,564.438112347299
2005,"Keweenaw",1055,234.626559703073
2006,"Houghton",1900,422.550202308853
2006,"Keweenaw",1323,294.228377712954
2007,"Houghton",2191,487.267101715103
2007,"Keweenaw",1271,282.66384586029
2008,"Houghton",2366,526.186199296182
2008,"Keweenaw",2157,479.705677042208
2009,"Houghton",2409,535.749177558961
2009,"Keweenaw",1823,405.425799373178
2010,"Houghton",1586,352.718221506232
2010,"Keweenaw",1861,413.876803419355
2011,"Houghton",2770,616.033715997643
2011,"Keweenaw",2488,553.318370181277
2012,"Houghton",3895,866.227914733148
2012,"Keweenaw",2658,591.125493545753
2013,"Houghton",2489,553.540765024597
2013,"Keweenaw",1454,323.362102187933
2014,"Houghton",3661,814.187521396163
2014,"Keweenaw",1817,404.091430313255
2015,"Houghton",4140,920.714651346658
2015,"Keweenaw",1764,392.304503617272
2016,"Houghton",5550,1234.29138042849
2016,"Keweenaw",4134,919.380282286735
2017,"Houghton",4726,1051.03802953244
2017,"Keweenaw",3402,756.587256976167
2018,"Houghton",6541,1454.68467015906
2018,"Keweenaw",6819,1516.51043660214
2019,"Houghton",6367,1415.9879674213
2019,"Keweenaw",5863,1303.90096638779
2020,"Houghton",7946,1767.14942502429
2020,"Keweenaw",6196,1377.9584492135
2021,"Houghton",6624,1473.14344215465
2021,"Keweenaw",6684,1486.48713275388
2022,"Houghton",9732,2164.34661519461
2022,"Keweenaw",12098,2690.53281449079
2023,"Houghton",13447,2990.54345813007
2023,"Keweenaw",4147,922.271415249901
2024,"Houghton",3719,827.086422308749
2024,"Keweenaw",3557,791.058457690836
