"county","year","mean_tcc"
"Houghton",2010,64.4578111612174
"Keweenaw",2010,64.6187945499929
"Houghton",2011,64.7826426570052
"Keweenaw",2011,64.7776438797027
"Houghton",2012,65.1809339514184
"Keweenaw",2012,65.0389572302294
"Houghton",2013,65.5530640267646
"Keweenaw",2013,65.3261111318475
"Houghton",2014,65.6924283250503
"Keweenaw",2014,65.1498550523713
"Houghton",2015,65.9051283513653
"Keweenaw",2015,65.3057604018364
"Houghton",2016,67.12884497946
"Keweenaw",2016,66.6608652067037
"Houghton",2017,67.2425289990004
"Keweenaw",2017,66.7403988859206
"Houghton",2018,67.2427064332939
"Keweenaw",2018,66.5201051514618
"Houghton",2019,67.0624421962764
"Keweenaw",2019,66.2746652400004
"Houghton",2020,67.0100613915985
"Keweenaw",2020,66.1247527181013
"Houghton",2021,67.1756599505118
"Keweenaw",2021,65.7342928967071
"Houghton",2022,67.5627837867585
"Keweenaw",2022,65.8706657163458
"Houghton",2023,67.6076845210599
"Keweenaw",2023,65.5472017375941
"Houghton",2024,67.9856271551846
"Keweenaw",2024,65.3306767007277
"Houghton",2025,67.4302288001873
"Keweenaw",2025,64.2296926683694
