"drop_pp","n_pixels","acres"
15,13236,2943.61814618946
16,11540,2566.43649191798
17,10672,2373.39776791583
18,9952,2213.27348072511
19,9612,2137.65923399615
20,9077,2018.67799281971
21,8848,1967.74957369933
22,8144,1811.18360400173
23,7788,1732.01103977966
24,7330,1630.15420153889
25,7101,1579.22578241851
26,6705,1491.15742446361
27,6234,1386.40945325968
28,5811,1292.33643453513
29,5709,1269.65216051644
30,5492,1221.3924795159
31,5304,1179.58224897166
32,5105,1135.32567515089
33,4961,1103.30081771275
34,4854,1079.50456947746
35,5071,1127.764250478
36,4651,1034.35841628341
37,4513,1003.66792790519
38,4391,976.535757020091
39,4347,966.750383913991
40,4230,940.730187245498
41,3951,878.682025959093
42,3948,878.014841429132
43,3888,864.671150829905
44,3776,839.762928378015
45,3932,874.456523936005
46,3735,830.644739801876
47,3867,860.000859120176
48,3732,829.977555271915
49,3800,845.100404617705
50,3838,853.551408663882
51,3890,865.115940516546
52,3817,848.881116954153
53,3663,814.632311082804
54,3734,830.422344958556
55,3750,833.980662451683
56,3611,803.067779230141
57,3463,770.153342418714
58,3257,724.340004694702
59,3078,684.531327740341
60,3027,673.189190730998
61,2854,634.714882836561
62,2553,567.774034997106
63,2454,545.756945508381
64,2145,477.036938922363
65,2077,461.914089576572
66,1968,437.673051654643
67,1967,437.450656811323
68,1908,424.329361055416
69,1875,416.990331225841
70,1956,435.004313534798
71,1984,441.23136914777
72,2196,488.379075931706
73,2321,516.178431346762
74,2306,512.842508696955
75,2407,535.30438787232
76,2738,608.917081011389
77,2989,664.738186684821
78,3494,777.047582561648
79,3998,889.134583595154
80,4164,926.052127586349
81,4108,913.598016360404
82,3858,857.999305530291
83,3294,732.568613897558
84,2772,616.478505684284
85,2256,501.722766530932
86,2118,471.032278152711
87,1711,380.517576921288
88,979,217.724551610719
89,426,94.7402032545112
90,103,22.9066688620062
91,17,3.78071233644763
92,2,0.444789686640898
93,1,0.222394843320449
