"kind","from","to","n_pixels","acres","changed","min_parcel_acres"
"owner_type","Forest Industry","Forest Industry",943426,209813.077454438,FALSE,20
"owner_type","Forest Industry","Other Business",167196,37183.5282238058,TRUE,20
"owner_type","Private Individual(s)","Private Individual(s)",122017,27135.9515974312,FALSE,20
"owner_type","Other Business","Other Business",87875,19542.9468567844,FALSE,20
"owner_type","Forest Industry","non-CFP in 2026",23521,5230.94910974028,TRUE,20
"owner_type","Other Business","Forest Industry",22315,4962.74092869581,TRUE,20
"owner_type","Forest Industry","Private Individual(s)",19071,4241.29205696428,TRUE,20
"owner_type","Private Individual(s)","Trust",16841,3745.35155635968,TRUE,20
"owner_type","Private Individual(s)","non-CFP in 2026",14972,3329.69559419376,TRUE,20
"owner_type","Forest Industry","Trust",14690,3266.98024837739,TRUE,20
"owner_type","Private Individual(s)","Other Business",13204,2936.50151120321,TRUE,20
"owner_type","Private Individual(s)","Forest Industry",6882,1530.52131173133,TRUE,20
"owner_type","Other Business","non-CFP in 2026",6109,1358.61009784462,TRUE,20
"owner_type","Other Business","Other",5223,1161.5682666627,TRUE,20
"owner_type","Private Individual(s)","Private Group",4695,1044.14378938951,TRUE,20
"owner_type","Forest Industry","Other",4406,979.871679669897,TRUE,20
"owner_type","non-CFP in 2020","Other Business",4047,900.031930917856,TRUE,20
"owner_type","Other","Other",3600,800.621435953616,FALSE,20
"owner_type","Other Business","Private Individual(s)",3107,690.980778196634,TRUE,20
"owner_type","non-CFP in 2020","Private Individual(s)",2021,449.459978350627,TRUE,20
"owner_type","Club or Group","Other",1604,356.721328686,TRUE,20
"owner_type","non-CFP in 2020","Forest Industry",1177,261.758730588168,TRUE,20
"owner_type","Other","non-CFP in 2026",755,167.908106706939,TRUE,20
"owner_type","Other","Other Business",358,79.6173539087207,TRUE,20
"owner_type","Other","Private Individual(s)",350,77.8381951621571,TRUE,20
"owner_type","Forest Industry","Private Group",176,39.141492424399,TRUE,20
"owner_type","non-CFP in 2020","Other",3,0.667184529961346,TRUE,20
"owner_type","non-CFP in 2020","Trust",2,0.444789686640898,TRUE,20
"owner_type","Other Business","Trust",1,0.222394843320449,TRUE,20
"owner_type","Forest Industry","Forest Industry",930084,206845.885454856,FALSE,40
"owner_type","Forest Industry","Other Business",165959,36908.4258026184,TRUE,40
"owner_type","Private Individual(s)","Private Individual(s)",119111,26489.672182742,FALSE,40
"owner_type","Other Business","Other Business",86916,19329.6702020401,FALSE,40
"owner_type","Forest Industry","non-CFP in 2026",24235,5389.73902787108,TRUE,40
"owner_type","Other Business","Forest Industry",21554,4793.49845292895,TRUE,40
"owner_type","Forest Industry","Private Individual(s)",18362,4083.61411305008,TRUE,40
"owner_type","Private Individual(s)","Trust",16267,3617.69691629374,TRUE,40
"owner_type","Forest Industry","Trust",14507,3226.28199204975,TRUE,40
"owner_type","Private Individual(s)","non-CFP in 2026",13750,3057.92909565617,TRUE,40
"owner_type","Private Individual(s)","Other Business",12620,2806.62292270406,TRUE,40
"owner_type","Private Individual(s)","Forest Industry",6790,1510.06098614585,TRUE,40
"owner_type","Other Business","non-CFP in 2026",6284,1397.5291954257,TRUE,40
"owner_type","Other Business","Other",5130,1140.8855462339,TRUE,40
"owner_type","Private Individual(s)","Private Group",4695,1044.14378938951,TRUE,40
"owner_type","non-CFP in 2020","Other Business",4047,900.031930917856,TRUE,40
